"id","city_name","lemmatized_city"
11330,"Республика Бурятия  ","республика бурятия"
11340,"Республика Хакасия  ","республика хакасия"
11351,"Северск   ","северск"
11352,"Стрежевой   ","стрежевой"
11353,"Томская область  ","томская область"
11374,"Белогорск   ","белогорск"
11375,"Амурская область  ","амурская область"
11387,"Свободный   ","свободный"
11391,"Тында   ","тында"
11398,"Камчатский край  ","камчатский край"
11403,"Магаданская область  ","магаданская область"
11405,"Арсеньев   ","арсеньев"
11406,"Артём   ","артём"
11409,"Приморский край  ","приморский край"
11411,"Дальнегорск   ","дальнегорск"
11426,"Уссурийск   ","уссурийск"
11437,"Нерюнгри   ","нерюнгри"
11443,"Республика Саха (Якутия) ","республика саха (якутия)"
11450,"Сахалинская область  ","сахалинская область"
11451,"Амурск   ","амурск"
11453,"Комсомольск-на-Амуре   ","комсомольск-на-амуре"
11457,"Хабаровский край  ","хабаровский край"
11463,"Евпатория   ","евпатория"
11464,"Керчь   ","керчь"
11469,"Феодосия   ","феодосия"
11470,"Ялта   ","ялта"
11471,"Алушта   ","алушта"
11472,"Судак   ","судак"
20010,"Рузаевка   ","рузаевка"
20020,"Вятские Поляны  ","вятские поляны"
20040,"Выкса   ","выкса"
20044,"Кстово   ","кстово"
20078,"Шумерля   ","шумерля"
20088,"Зеленогорск   ","зеленогорск"
20097,"Усть-Кут   ","усть-кут"
20100,"Искитим   ","искитим"
20155,"Оленегорск   ","оленегорск"
20167,"Ахтубинск   ","ахтубинск"
20192,"Алексеевка   ","алексеевка"
20196,"Шебекино   ","шебекино"
20224,"Ревда   ","ревда"
20234,"Качканар   ","качканар"
20235,"Октябрьский   ","октябрьский"
20237,"Березники   ","березники"
20243,"Чайковский   ","чайковский"
20244,"Лысьва   ","лысьва"
20259,"Белорецк   ","белорецк"
20293,"Колпинский район  ","колпинский район"
20297,"Пушкинский район  ","пушкинский район"
20523,"Электросталь   ","электросталь"
20524,"Запад   ","запад"
20525,"Восток   ","восток"
20528,"Север   ","север"
20529,"Львов и область ","львов и область"
